Site Description,Histology,Histology Description,Histology/Behavior,Histology/Behavior Description,,,,,
BASE OF TONGUE,973,PLASMA CELL TUMORS,9734/3,"Plasmacytoma, extramedullary",,,,,
BASE OF TONGUE,973,PLASMA CELL TUMORS,9735/3,Plasmablastic lymphoma,,,,,
BASE OF TONGUE,973,PLASMA CELL TUMORS,9737/3,ALK positive large B-cell lymphoma,,,,,
BASE OF TONGUE,973,PLASMA CELL TUMORS,9738/3,Lrg B-cell lymphoma in HHV8-assoc. multicentric Castleman DZ,,,,,
BASE OF TONGUE,974,MAST CELL TUMORS,9740/3,Mast cell sarcoma,,,,,
BASE OF TONGUE,974,MAST CELL TUMORS,9741/3,Malignant mastocytosis,,,,,
BASE OF TONGUE,974,MAST CELL TUMORS,9749/3,Erdhiem-Chester Disease,,,,,
BASE OF TONGUE,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9750/3,Malignant histiocytosis,,,,,
BASE OF TONGUE,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9751/3,"Langerhans cell histiocytosis, NOS",,,,,
BASE OF TONGUE,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9754/3,"Langerhans cell histiocytosis, disseminated",,,,,
BASE OF TONGUE,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9755/3,Histiocytic sarcoma,,,,,
BASE OF TONGUE,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9756/3,Langerhans cell sarcoma,,,,,
BASE OF TONGUE,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9757/3,Interdigitating dendritic cell sarcoma,,,,,
BASE OF TONGUE,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9758/3,Follicular dendritic cell sarcoma,,,,,
BASE OF TONGUE,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9759/3,Fibroblastic reticular cell tumor,,,,,
BASE OF TONGUE,976,IMMUNOPROLIFERATIVE DISEASES,9766/3,"Lymphomatoid granulomatosis, grade 3",,,,,
BASE OF TONGUE,981,PRECURSOR LYMPHOID NEOPLASMS,9811/3,"B lymphoblastic leukemia/lymphoma, NOS",,,,,
BASE OF TONGUE,981,PRECURSOR LYMPHOID NEOPLASMS,9812/3,Leukemia/lymphoma with t(9;22)(q34;q11.2);BCR-ABL1,,,,,
BASE OF TONGUE,981,PRECURSOR LYMPHOID NEOPLASMS,9813/3,Leukemia/lymphoma with t(v;11q23);MLL rearranged,,,,,
BASE OF TONGUE,981,PRECURSOR LYMPHOID NEOPLASMS,9814/3,Leukemia/lymphoma with t(12;21)(p13;q22);TEL-AML1(ETV6-RUNX1),,,,,
BASE OF TONGUE,981,PRECURSOR LYMPHOID NEOPLASMS,9815/3,B lymphoblastic leukemia/lymphoma with hyperdiploidy,,,,,
BASE OF TONGUE,981,PRECURSOR LYMPHOID NEOPLASMS,9816/3,Leukemia/lymphoma with hypodiploidy (hypodiploid ALL),,,,,
BASE OF TONGUE,981,PRECURSOR LYMPHOID NEOPLASMS,9817/3,B lymphblastic leukemia/lymphoma with t(5;14)(q31;q32);IL3-IGH,,,,,
BASE OF TONGUE,981,PRECURSOR LYMPHOID NEOPLASMS,9818/3,Leukemia/lymphoma with t(1;19)(q23;p13.3); E2A PBX1 (TCF3 PBX1),,,,,
BASE OF TONGUE,981,PRECURSOR LYMPHOID NEOPLASMS,9819/3,"B-lymphocytic leukemia/lymphoma, BCR-ABL1-like",,,,,
BASE OF TONGUE,982,"LYMPHOID LEUKEMIA, NOS",9823/3,Chronic lymphocytic leukemia/small lymphocytic lymphoma,,,,,
BASE OF TONGUE,983,PROLYMPH/PRECURS LEUKEMIA,9831/3,T-cell large granular lymphocytic leukemia,,,,,
BASE OF TONGUE,983,PROLYMPH/PRECURS LEUKEMIA,9837/3,T lymphoblastic leukemia/lymphoma,,,,,
BASE OF TONGUE,996,CHRONIC MYELOPROLIFERATIVE DIS.,9965/3,Myeloid and lymphoid neoplasms with PDGFRB rearrangement,,,,,
BASE OF TONGUE,996,CHRONIC MYELOPROLIFERATIVE DIS.,9967/3,Myeloid and lymphoid neoplasm with FGFR1 abnormalities,,,,,
BASE OF TONGUE,997,MYELOPLASTIC/MYELOPROLIFERATIVE NEOPLASMS,9971/3,Polymorphic PTLD,,,,,
BASE OF TONGUE,997,MYELOPLASTIC/MYELOPROLIFERATIVE NEOPLASMS,9975/3,"Myelodysplastic/Myeloproliferative neoplasm, unclassifiable",,,,,
TONGUE (EXCL BASE OF TONGUE),800,NEOPLASM,8000/3,"Neoplasm, malignant",,,,,
TONGUE (EXCL BASE OF TONGUE),800,NEOPLASM,8001/3,"Tumor cells, malignant",,,,,
TONGUE (EXCL BASE OF TONGUE),800,NEOPLASM,8002/3,"Malignant tumor, small cell type",,,,,
TONGUE (EXCL BASE OF TONGUE),800,NEOPLASM,8003/3,"Malignant tumor, giant cell type",,,,,
TONGUE (EXCL BASE OF TONGUE),800,NEOPLASM,8004/3,"Malignant tumor, spindle cell type",,,,,
TONGUE (EXCL BASE OF TONGUE),800,NEOPLASM,8005/3,"Malignant tumor, clear cell type",,,,,
TONGUE (EXCL BASE OF TONGUE),801,"CARCINOMA, NOS",8010/2,"Carcinoma in situ, NOS",,,,,
TONGUE (EXCL BASE OF TONGUE),801,"CARCINOMA, NOS",8010/3,"Carcinoma, NOS",,,,,
