,Foundation.URI,Code,Title,DepthInKind,isLeaf,icd_code
1771,http://id.who.int/icd/entity/1299055263,2C84,Malignant neoplasms of other specified male genital organs,1,TRUE,2C84 - Malignant neoplasms of other specified male genital organs
1772,,2C8Z,"Malignant neoplasms of male genital organs, unspecified",1,TRUE,"2C8Z - Malignant neoplasms of male genital organs, unspecified"
1773,http://id.who.int/icd/entity/1048613131,2C90,"Malignant neoplasms of kidney, except renal pelvis",1,FALSE,"2C90 - Malignant neoplasms of kidney, except renal pelvis"
1774,http://id.who.int/icd/entity/825917541,2C90.0,"Renal cell carcinoma of kidney, except renal pelvis",2,TRUE,"2C90.0 - Renal cell carcinoma of kidney, except renal pelvis"
1775,,2C90.Y,"Other specified malignant neoplasms of kidney, except renal pelvis",2,TRUE,"2C90.Y - Other specified malignant neoplasms of kidney, except renal pelvis"
1776,,2C90.Z,"Malignant neoplasms of kidney, except renal pelvis, unspecified",2,TRUE,"2C90.Z - Malignant neoplasms of kidney, except renal pelvis, unspecified"
1777,http://id.who.int/icd/entity/1540054175,2C91,Malignant neoplasms of renal pelvis,1,FALSE,2C91 - Malignant neoplasms of renal pelvis
1778,http://id.who.int/icd/entity/2135776892,2C91.0,Urothelial carcinoma of renal pelvis,2,TRUE,2C91.0 - Urothelial carcinoma of renal pelvis
1779,,2C91.Y,Other specified malignant neoplasms of renal pelvis,2,TRUE,2C91.Y - Other specified malignant neoplasms of renal pelvis
1780,,2C91.Z,"Malignant neoplasms of renal pelvis, unspecified",2,TRUE,"2C91.Z - Malignant neoplasms of renal pelvis, unspecified"
1781,http://id.who.int/icd/entity/795216992,2C92,Malignant neoplasms of ureter,1,FALSE,2C92 - Malignant neoplasms of ureter
1782,http://id.who.int/icd/entity/1470811231,2C92.0,Urothelial carcinoma of ureter,2,TRUE,2C92.0 - Urothelial carcinoma of ureter
1783,,2C92.Y,Other specified malignant neoplasms of ureter,2,TRUE,2C92.Y - Other specified malignant neoplasms of ureter
1784,,2C92.Z,"Malignant neoplasms of ureter, unspecified",2,TRUE,"2C92.Z - Malignant neoplasms of ureter, unspecified"
1785,http://id.who.int/icd/entity/1705187418,2C93,Malignant neoplasms of urethra or paraurethral gland,1,FALSE,2C93 - Malignant neoplasms of urethra or paraurethral gland
1786,http://id.who.int/icd/entity/1661934843,2C93.0,Adenocarcinoma of urethra or paraurethral gland,2,TRUE,2C93.0 - Adenocarcinoma of urethra or paraurethral gland
1787,http://id.who.int/icd/entity/2024861803,2C93.1,Squamous cell carcinoma of urethra or paraurethral gland,2,TRUE,2C93.1 - Squamous cell carcinoma of urethra or paraurethral gland
1788,http://id.who.int/icd/entity/1513300494,2C93.2,Urothelial carcinoma of urethra or paraurethral gland,2,TRUE,2C93.2 - Urothelial carcinoma of urethra or paraurethral gland
1789,,2C93.Y,Other specified malignant neoplasms of urethra and paraurethral gland,2,TRUE,2C93.Y - Other specified malignant neoplasms of urethra and paraurethral gland
1790,,2C93.Z,"Malignant neoplasms of urethra or paraurethral gland, unspecified",2,TRUE,"2C93.Z - Malignant neoplasms of urethra or paraurethral gland, unspecified"
1791,http://id.who.int/icd/entity/1244512758,2C94,Malignant neoplasms of bladder,1,FALSE,2C94 - Malignant neoplasms of bladder
1792,http://id.who.int/icd/entity/1907332818,2C94.0,Adenocarcinoma of bladder,2,TRUE,2C94.0 - Adenocarcinoma of bladder
1793,http://id.who.int/icd/entity/1981804514,2C94.1,Squamous cell carcinoma of bladder,2,TRUE,2C94.1 - Squamous cell carcinoma of bladder
1794,http://id.who.int/icd/entity/1237451411,2C94.2,Urothelial carcinoma of bladder,2,TRUE,2C94.2 - Urothelial carcinoma of bladder
1795,,2C94.Y,Other specified malignant neoplasms of bladder,2,TRUE,2C94.Y - Other specified malignant neoplasms of bladder
1796,,2C94.Z,"Malignant neoplasms of bladder, unspecified",2,TRUE,"2C94.Z - Malignant neoplasms of bladder, unspecified"
1797,http://id.who.int/icd/entity/1800186673,2C95,Malignant neoplasm involving overlapping sites of urinary organs,1,FALSE,2C95 - Malignant neoplasm involving overlapping sites of urinary organs
1798,http://id.who.int/icd/entity/20708394,2C95.0,Adenocarcinoma involving overlapping sites of urinary organs,2,TRUE,2C95.0 - Adenocarcinoma involving overlapping sites of urinary organs
1799,http://id.who.int/icd/entity/1525098224,2C95.1,Squamous cell carcinomas involving overlapping sites of urinary organs,2,TRUE,2C95.1 - Squamous cell carcinomas involving overlapping sites of urinary organs
1800,http://id.who.int/icd/entity/1395410103,2C95.2,Urothelial carcinoma involving overlapping sites of urinary organs,2,TRUE,2C95.2 - Urothelial carcinoma involving overlapping sites of urinary organs
1801,,2C95.Y,Other specified malignant neoplasms of overlapping lesion of urinary organs,2,TRUE,2C95.Y - Other specified malignant neoplasms of overlapping lesion of urinary organs
1802,,2C95.Z,"Malignant neoplasm involving overlapping sites of urinary organs, unspecified",2,TRUE,"2C95.Z - Malignant neoplasm involving overlapping sites of urinary organs, unspecified"
1803,,2C9Y,Other specified malignant neoplasms of urinary tract,1,TRUE,2C9Y - Other specified malignant neoplasms of urinary tract
1804,,2C9Z,"Malignant neoplasms of urinary tract, unspecified",1,TRUE,"2C9Z - Malignant neoplasms of urinary tract, unspecified"
1805,http://id.who.int/icd/entity/2033444200,2D00,Malignant neoplasm of conjunctiva,1,FALSE,2D00 - Malignant neoplasm of conjunctiva
1806,http://id.who.int/icd/entity/1193234571,2D00.0,Melanoma of conjunctiva,2,TRUE,2D00.0 - Melanoma of conjunctiva
1807,http://id.who.int/icd/entity/464839824,2D00.1,Malignant neoplasm of caruncle,2,TRUE,2D00.1 - Malignant neoplasm of caruncle
