"","PROC.CODE","PROCEDURE.DESCRIPTION"
"477","4037F","INFLUENZA IMM ORDER/ADMIN          "
"478","4040F","PNEUMOC VAC/ADMIN/RCVD             "
"479","4041F","DOC ORDER CEFAZOLIN/CEFUROX        "
"480","4042F","DOC ANTIBIO NOT GIVEN              "
"481","4043F","DOC ORDER GIVEN STOP ANTIBIO       "
"482","4044F","DOC ORDER GIVEN VTE PROPHYLX       "
"483","4045F","EMPIRIC ANTIBIOTIC RX              "
"484","4046F","DOC ANTIBIO GIVEN B/4 SURG"
"485","40490","BIOPSY OF LIP                      "
"486","4050F","HT CARE PLAN DOC                   "
